query,Product Inquiry,Order Tracking,Refund Request,Store Policy
Can I cancel my order and get a refund? and I want to check the status of my shipment. and Help me with the products that have discounts,1,1,1,0
What are the features of this laptop? and What are the options for free delivery,1,0,0,1
"What are the features of this laptop? and It's been long time since I have raised the refund, but amount is not credited",1,0,1,0
How do I get a refund?,0,0,1,0
I've been waiting for the order long time and What are the options for free delivery,0,1,0,1
What are the options for free delivery and Where is my order? and What are the features of this laptop?,1,1,0,1
Where is my order? and What is your return policy?,0,1,0,1
"When I can expect the refund to be processed and There is delay in the order delivery, can you please let me know the reason and What is the price of the new headphones?",1,1,1,0
How do I get a refund? and what are the different color options that are avaliable for the product?,1,0,1,0
What is the price of the new headphones? and Do you offer free shipping?,1,0,0,1
I've been waiting for the order long time,0,1,0,0
I've been waiting for the order long time and Help me with the products that have discounts,1,1,0,0
When I can expect the refund to be processed,0,0,1,0
"There is delay in the order delivery, can you please let me know the reason and Do you have this product in stock? and Can you explain your warranty terms?",1,1,0,1
What is the price of the new headphones? and System shows that order is delivered but I have not reveived any order,1,1,0,0
Can I cancel my order and get a refund?,0,0,1,0
What is your return policy?,0,0,0,1
I don't what this product anymore,0,0,1,0
Expected avaliability date for the product,1,0,0,0
"What is the price of the new headphones? and What is your return policy? and There is delay in the order delivery, can you please let me know the reason",1,1,0,1
Do you have this product in stock?,1,0,0,0
what are the different color options that are avaliable for the product? and Do you offer free shipping? and Where is my order?,1,1,0,1
What is the process for a refund?,0,0,1,0
"Do you offer free shipping? and There is delay in the order delivery, can you please let me know the reason",0,1,0,1
"Expected avaliability date for the product and What are the options for free delivery and It's been long time since I have raised the refund, but amount is not credited",1,0,1,1
What are the features of this laptop?,1,0,0,0
I don't what this product anymore,0,0,1,0
What is the process for a refund? and What are the options for free delivery,0,0,1,1
What is your return policy?,0,0,0,1
"What is your return policy? and There is delay in the order delivery, can you please let me know the reason and Is this phone available?",1,1,0,1
What are the delivery charges? and How long will delivery take?,0,1,0,1
I don't what this product anymore,0,0,1,0
How long will delivery take?,0,1,0,0
What is the process for a refund?,0,0,1,0
